method,score_threshold,iou_threshold,num_pages,num_predictions,num_ground_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy
Faster R-CNN,0.05,0.75,11,647,152,49,598,103,0.07573415765069552,0.3223684210526316,0.12265331664580727,0.8257461595906435,1.0
Faster R-CNN,0.1,0.75,11,647,152,49,598,103,0.07573415765069552,0.3223684210526316,0.12265331664580727,0.8257461595906435,1.0
Faster R-CNN,0.15,0.75,11,485,152,49,436,103,0.10103092783505155,0.3223684210526316,0.15384615384615383,0.8257461595906435,1.0
Faster R-CNN,0.2,0.75,11,396,152,49,347,103,0.12373737373737374,0.3223684210526316,0.17883211678832117,0.8257461595906435,1.0
Faster R-CNN,0.25,0.75,11,325,152,49,276,103,0.15076923076923077,0.3223684210526316,0.20545073375262055,0.8257461595906435,1.0
Faster R-CNN,0.3,0.75,11,288,152,47,241,105,0.16319444444444445,0.3092105263157895,0.21363636363636365,0.8276467151851097,1.0
Faster R-CNN,0.35,0.75,11,262,152,47,215,105,0.17938931297709923,0.3092105263157895,0.22705314009661834,0.8276467151851097,1.0
Faster R-CNN,0.4,0.75,11,241,152,47,194,105,0.1950207468879668,0.3092105263157895,0.23918575063613234,0.8276467151851097,1.0
Faster R-CNN,0.45,0.75,11,209,152,47,162,105,0.22488038277511962,0.3092105263157895,0.260387811634349,0.8276467151851097,1.0
Faster R-CNN,0.5,0.75,11,197,152,47,150,105,0.23857868020304568,0.3092105263157895,0.26934097421203435,0.8276467151851097,1.0
Faster R-CNN,0.55,0.75,11,178,152,47,131,105,0.2640449438202247,0.3092105263157895,0.28484848484848485,0.8276467151851097,1.0
Faster R-CNN,0.6,0.75,11,167,152,47,120,105,0.281437125748503,0.3092105263157895,0.2946708463949843,0.8276467151851097,1.0
Faster R-CNN,0.65,0.75,11,152,152,45,107,107,0.29605263157894735,0.29605263157894735,0.29605263157894735,0.8267807567535115,1.0
Faster R-CNN,0.7,0.75,11,143,152,45,98,107,0.3146853146853147,0.29605263157894735,0.30508474576271183,0.8267807567535115,1.0
Faster R-CNN,0.75,0.75,11,137,152,45,92,107,0.3284671532846715,0.29605263157894735,0.31141868512110726,0.8267807567535115,1.0
Faster R-CNN,0.8,0.75,11,125,152,44,81,108,0.352,0.2894736842105263,0.3176895306859206,0.8281683298542751,1.0
Faster R-CNN,0.85,0.75,11,107,152,41,66,111,0.38317757009345793,0.26973684210526316,0.3166023166023166,0.8252247882106174,1.0
Faster R-CNN,0.9,0.75,11,80,152,35,45,117,0.4375,0.23026315789473684,0.3017241379310345,0.8293272850338304,1.0
Faster R-CNN,0.95,0.75,11,27,152,14,13,138,0.5185185185185185,0.09210526315789473,0.1564245810055866,0.8231477186862787,1.0
